Sr No,District,Name,Address,Contact #
794,Rawalpindi,Khan Lab And Diagnostic Centre,"B Block 991, Haidery Chowk, 4th Road, Rawalpindi",0320-6025373
795,Rawalpindi,"Khayaban Clinical Lab, Khayaban e Sir Sayyed, Rawalpindi","Hameed Plaza Sector II Awan Market Khayaban e Sir Sayyed, Rawalpindi",0312-2505000
796,Rawalpindi,KIMS Lab,KIMS Lab Opposite Benazir Bhutto Hospital,03335212828
797,Rawalpindi,Kohsar Diagnostic Center,Kohsar Diagnostic Center A-142/125 Kashmir Bazar Near DHQ Rawalpindi,0335-5160029
798,Rawalpindi,Kohsar Lab,"Bohar Bazar, Kahuta, Rawalpindi",03336883707
799,Rawalpindi,"Liaqat Ali Clinic and Diagnostic Center, Rehmatabad, Rawalpindi","84-A Block-D, Rehmatabad, Chaklala, Rawalpindi",0334-5132757
800,Rawalpindi,"Life Care Lab & Diagnostic Center, Dar ul Uloom Jamia Masjid, Rawalpindi","House No.10, Chungi No.22, Darul Ul Uloom Jamia Masjid, Rawalpindi",0321-5234771
801,Rawalpindi,"Lillah Medical Diagnostic Centre, Rawalpindi","101-A, Behind Taj Mehal Plaza 6th RD. Chowk, Rawalpindi",0300-5252192
802,Rawalpindi,M Care Lab,"Misaryal Road,Misaryal Chowk Near Allide Bank, Rawalpindi",0300-8366963
803,Rawalpindi,Madina Health Laboratory,Al Amin Plaza Saddar Rawalpindi,03320506023
804,Rawalpindi,Mahnoor Diagnostic Center,"378-Saidpur Road, Satellite Town, Rawalpindi",0321-5599227
805,Rawalpindi,Maqbool Lab,"80/383, Laiq Ali Chowk Wah Cantt, Taxila, Rawalpindi",03005901543
806,Rawalpindi,Marhaba Medical Diagnostic Center,"E-50,E Block ,Nearby Haidri Chowk ,Satellite Town ,Rawalpindi",0322-4423325
807,Rawalpindi,"Med Path Laboratory, gate No 3,basement Abbasi medical store , holy family hospital road , Rawalpindi","House No.208, Lane No.07, Army Officers Colony, Moragh, Rawalpindi",
808,Rawalpindi,MedAsk Clinical Laboratory,Plot # F-833/4 Main Holy Family Hospital Road Opposite Gate # 1 & 2 Rawalpindi,0321-5010562
809,Rawalpindi,Medeast Laboratory,"Abu Bakar Avenue Safari Velley Phase-8, Bahria Town, Rawalpindi",03151561429
810,Rawalpindi,Medi Tech Laboratories,"Shop No.G-2, Ground Floor, Golden Plaza, Opposite Soneri Bank, Near Transformer Chowk, Kurri Road, Rawalpindi",03345428274
811,Rawalpindi,Medicare Diagnostic Medical Centre (private) Limited,"Satellite Rawal, Rawalpindi",0313-7877451
812,Rawalpindi,MediCare Laboratory,"Near THQ Hospital, Gujarkhan, Rawalpindi",
813,Rawalpindi,Mehar Lab,"Chowk Dheri, Hassanabad, Rawalpindi",0321-5515680
814,Rawalpindi,Micro Lab & Diagnostic Centre,"Fazal Town Basement PIA Medical Centre, Old Airport Link Road, Rawalpindi",03088080080
815,Rawalpindi,Modern Diagnostic Centre,"F-833/14, Opposite Gate No 2 Holy Family Hospital, Satellite Town, Rawalpindi",0314-4330002
816,Rawalpindi,Muzaffar Khan Pathology Lab,Faisal Shaheed Road Near Over Head Bridge Taxila Rawalpindi,03334343202
817,Rawalpindi,Nadeem Clinical Laboratory,"Liaqat Ali Nadeem Clinical Laboratory, Faisal Shaheed Road Near Over Head Bridge Taxila District, Rawalpindi",0345-5618545
818,Rawalpindi,"National Laboratory Alamin Plaza, Rawalpindi","Alamin Plaza Mall Road Sadar, Rawalpindi",
819,Rawalpindi,"NEXUS Diagnostics, Aziz Bhatti Road Rawalpindi",55-B Civil Lines Rashid Minhas Road Rawalpindi,
820,Rawalpindi,"Pak Rawalpindi Medical Lab, Satellite Town, Rawalpindi","F-786, Near Siddique Chowk, Satellite Town, Rawalpindi",0300-9623125
821,Rawalpindi,"Pak Saudi Diagnostic Center, Behria Town, Rawalpindi","No33 2nd Floor, Asian Bussines Center, G.T Road, Main Gate Behria Town, Phase 7/8, Rawalpindi",0300-9503819
822,Rawalpindi,Pakistan Diagnostic Centre,"Shop No.10, 1st Floor Al Amin Plaza Shahar-E-Quaid-Azam, Cantt, Rawalpindi",03000082586
823,Rawalpindi,Pakistan Medical Lab,"Office # 4,5. Ground Floor, Umar Farooq Plaza, Near Chandni Chowk, Rawalpindi",03215505342
824,Rawalpindi,"Pearl Diagnostic Centre, Royal Plaza, Rawalpindi","Office # 2, 3rd Floor, Royal Plaza, 6th Road Rawalpindi",0335-8027230
825,Rawalpindi,Perfect Medical Lab,"House No. D-56, Housing Scheme No.1, Bank Al-Falah Street, Gujar Khan, Rawalpindi",03219391838
826,Rawalpindi,"Potohar Medical Clinic, Masood Arcade IJP Road, Rawalpindi",Masood Arcade IJP Road District Rawalpindi,0322-5007443
827,Rawalpindi,Premium Diagnostic Center Private Limited Reg# 9803503,"2 The Mall, Opp Nadira Office, Saddar, Rawalpindi",0322-8505100
828,Rawalpindi,Primax Diagnostic Center,"03-42/ B-1 Opposite In Gate Benazir Bhutto Hospital, Murree Road, Rawalpindi",0300-9104546
829,Rawalpindi,"Prime City Clinical Lab, Kahuta, Rawalpindi","Ghafar Plaza Channi Bazar Kahuta, Rawalpindi",0300-5130335
830,Rawalpindi,Punjab Lab,Shop No 3 Opposite BBH Murree Road Rawalpindi,0312-5019679
831,Rawalpindi,Pure Health Lab,Dr Aftab street behind Police Station Main Bazar Mandra,03475105900
832,Rawalpindi,Qayas Clinical Laboratory,"Inam Plaza, Shop # 8, Near Amna Family Clinic, Bostan Khan Road, Dhoke CHauhdrian, Chaklala Scheme Three, Rawalpindi",0345-5411602
833,Rawalpindi,Radiant Lab,"House No.CB-6437, Near Haval Motors, Opposite Al Shifa Trust Eye Hospital, Jhelum Road, Rawalpindi",0335-0016407
834,Rawalpindi,Rawal Diagnostic Center,"Sadiqabad 38-A/1, Near Bilal Hospital, Chira Road, Rawalpindi",
835,Rawalpindi,"Rawalpindi Diagnostic Centre, Scheme-III Chaklala, Rawalpindi",House No.626 Street No.8 Scheme-III Chaklala District Rawalpindi,0300-8558197
836,Rawalpindi,"Reliance Medical Lab, Satellite Town, Rawalpindi","D-975, D-Block, Satellite Town, Rawalpindi",0321-5893458
837,Rawalpindi,Research & Diagnostic Centre,"Opposite Gate No.1, Holy Family Hospital, Rawalpindi",
838,Rawalpindi,Royal Medical Lab,"Main Fauji Colony, Bokra Road, Rawalpindi",0336-6666969
839,Rawalpindi,"Sanober Clinical Laboratory, Sadiqabad, Rawalpindi","DT 211-A Chirrah Road Sadiqabad, Rawalpindi",03335160029
840,Rawalpindi,"Sapphire Medical & Diagnostic Centre, Satellite Town, Rawalpindi","Block F-851 6th Road Satellite Town, Rawalpindi",0321-4900150
841,Rawalpindi,Shaheen Health Plus Lab,"Mega Mall Lower Ground, Opposite AFIC/MH Mall Road Saddar, Rawalpindi",0322-4659808
842,Rawalpindi,Shaheen Lab & Diagnostic Centre,"Shop # 34, Al Amin Plaza, Opposite AFIC/MH, Mall Road Saddar, Rawalpindi",
843,Rawalpindi,Smart Diagnostic Centre,"Opposite THQ Hospital, Kahuta,Rawalpindi",0334-1777748
844,Rawalpindi,Super Labs,"7/E Madina Medical Center, Haideri Chowk, Saidpur Road, Rawalpindi",0335-5833862
845,Rawalpindi,Taqwa Medical Centre,"Jawad Plaza, Opposite IJP Metro Station, IJP Road, Rawalpindi",
846,Rawalpindi,Taxila Clinical Laboratory,"Faisal Shaheed Road, Opposite Mekfooz Dawakhana, Taxila, Rawalpindi",0300-5116509
847,Rawalpindi,"Temar Diagnostic Centre, Rawat Road, Rawalpindi","Building # 1 Adjacent to Rawalpindi Institute of Cardiology Rawal Road, Rawalpindi",0320-5000062
848,Rawalpindi,The Ghalib Lab,"Ghousia Market Opposite Punjab Bank Kallar Syedan, Rawalpindi",0312-9098664
849,Rawalpindi,The Haroon Lab,"Kashmir Gate Plaza 1st Floor, Office # 4, Near Benazir Hospital, Rawalpindi",0323-5071973
850,Rawalpindi,"The Molecular Concerns Lab, Holy Family Hospital, Rawalpindi","F-833/3 Opp Gate No 2 Holy Family Hospital, Rawalpindi",0332-5888828
851,Rawalpindi,The Shifa Lab,"Shop No 3, Paris Plaza, Trolly Ada, Khana Road, Rawalpindi",0301-5414042
852,Rawalpindi,"Twin City Diagnostics, Satellite Town, Rawalpindi","78-A Aran Road, Satellite Town, Rawalpindi",0345-5112621
853,Rawalpindi,"Ultra Lab, Satelite Town, Rawalpindi","Family Plaza Opp Gate No 3, Holy Family Hospital, Satelite Town, Rawalpindi",0320-5626486
854,Rawalpindi,United Clinical Lab,"E-84/D, Opposite Holy Family Hospital Gate No.06, Rawalpindi",03216182607
855,Rawalpindi,"United Lab, Alam Plaza Fall Road, Rawalpindi",1St Floor Alam Plaza Opp Mh Afic Teh Fall Road District Rawalpindi,0333-5347699
856,Rawalpindi,Urgent Medical Diagnostic Centre,"Taj Tower, A-101 Satellite Town, 6th Road Chowk Rawalpindi",0321-2555001
