No.,,,,,
,District,HCE Name,Address,Sector,
145,Lahore,Govt. Muhammad Nawaz Sharif Teaching Hospital,"Yakki Gate, Lahore",Public,
146,Lahore,Govt. Mian Munshi DHQ Teaching Hospital,"Bund Road, Lahore",Public,
147,Lahore,Govt. Kot Khawaja Saeed Teaching Hospital,"Scheme # 2, Kot Khawaja Saeed, Lahore",Public,
148,Lahore,Government Mian Meer Hospital,"Opposite Mian Meer Darbar, Lahore",Public,
149,Lahore,Ghurki Trust Teaching Hospital,"Jallo Morr, Lahore",Private,
150,Lahore,Fatima Memorial Hospital,"Main Road, Shadman, Lahore",Private,
151,Lahore,Farooq Hospital,"2-3 Asif Block Allama Iqbal Town, Lahore",Private,
152,Lahore,Farooq Hospital,"262-263, West Wood Society, Thokar Niaz Baig, Lahore",Private,
153,Lahore,Family Hospital,"4-Mozang Road, Lahore",Private,
154,Lahore,Faisal Hospital,"23-A, Faisal Town, Lahore",Private,
155,Lahore,Evercare Hospital,"1, D1 Commercial Nespak Society, Lahore",Private,
156,Lahore,Doctors Hospital & Medical Centre,"152-G/1, Canal Bank, Johar Town, Lahore",Private,
157,Lahore,DHA Medical Centre,"W-Block, Phase-III, DHA, Lahore",Private,
158,Lahore,Chaudhry Muhammad Akram Teaching & Research Hosptial,"17-KM Raiwind Road, Lahore",Private,
159,Lahore,Central Park Teaching Hospital,"31Km Ferozepur Road, Kahna Nou, Lahore",Private,
160,Lahore,Cavalry Hospital,"44-45, Commercial Area, Cavalry Ground, Lahore",Private,
161,Lahore,Begum Akhtar Rukhsana Memorial Trust Hospital,"Bahria Orchard Raiwind Road, Lahore",Private,
162,Lahore,Bahria International Hospital,"Takbeer Block, Sector B, Bahria Town, Lahore",Private,
163,Lahore,Avicenna Hospital,"Phase IX DHA Bedian Road, Lahore",Private,
164,Lahore,Arif Memorial Teaching Hospital,"35-KM Ferozpur Road, Lahore",Private,
165,Lahore,Al-Shafi Hospital,"15-Gulshan Block, Main Boulevard, Allama Iqbal Town, Lahore",Private,
166,Lahore,Al-Khidmat Teaching Mansoorah Hospital,"Mansoorah Stop, Multan Road, Lahore",Private,
167,Lahore,Ali Fatima Hospital,"Bhobtian Chowk, Raiwind Road, Lahore",Private,
168,Lahore,Al Razi Healthcare (Pvt.) Ltd,"2-CII M.M Alam Road, Gulberg III, Lahore",Private,
169,Lahore,Akram Medical Complex,"2-B Main Gulberg Ayesha Saddiqua Road, District Lahore",Private,
170,Lahore,Akhtar Saeed Trust Hospital,"258-F, DHA EME Society, Thokar Niaz Baig, Lahore",Private,
171,Lahore,ACME Medical Centre,"97-J, Gulberg III, Lahore",Private,
172,Lahore,Aadil Hospital,"Main Boulevard DHA, Lahore",Private,
173,Layyah,District Head Quarters Hospital Layyah,"College Road, District Layyah",Public,
174,Layyah,Aasia Iqbal Hospital,"MM Road Fateh Pur, Layyah",Private,
175,Mandi Bahauddin,Bashir Begum Surgical & General Hospital,"Opposite Ghazali Boys College, Sargodha Road, Phalia, District Mandi Bahauddin",Private,
176,Mianwali,Rehman Hospital,"Near Gulberg Chowk, Mianwali",Private,
177,Mianwali,Mianwali Hospital Complex,"Ballo Khel Road, Mianwali",Private,
178,Mianwali,Imran Memorial Hospital,"Liaqatabad Piplan, Mianwali",Private,
179,Mianwali,"District Headquarter Hospital, Mianwali",District Mianwali,Public,
180,Mianwali,City Medical Complex,"Opposite Govt Boys High School, Mianwali",Private,
181,Mianwali,Al Shifa Hospital,"Isakhel, Mianwali",Private,
182,Multan,Womens Christian Hospital,"85-Nusrat Road Multan Cantonment, Multan",Private,
183,Multan,"The Children's Hospital & Institute of Child Health, Multan","Abdali Road, Near Chowk Fowara, Multan",Public,
184,Multan,Shahzad Surgical Hospital,"Adda Ban Bosan, Multan",Private,
185,Multan,Rural Health Center Ayyazabad Maral,Ayyazabad Maral Tehsil & District Multan,Public,
186,Multan,Mukhtar A Sheikh Memorial Welfare Hospital,"Near Pak Arab Fertilizers, Rhanewal Road, Multan",Private,
187,Multan,Medicare Hospital (Pvt) Ltd,"62-A Abdali Road, Multan",Private,
188,Multan,LRBT Free Secondary Eye Hospital,"Behind Al Habib Textile Mills, Moza Laar, Multan",Private,
189,Multan,Laeeque Rafiq Hospital,"Yaqoob Nagar 19 KM Bahawalpur Road, Multan",Private,
190,Multan,Ibn-e-Siena Hospital & Research Institute,"MMDC Southern Bypass Mauza Jahangir Abad, Multan",Private,
191,Multan,Fatima Medical Centre (Pvt) Ltd,"Chowk Rasheedabad Khanewal Road, Multan",Private,
192,Multan,City Hospital,"Peer Khursheed Colony Road, Multan",Private,
193,Multan,"Chaudhry Pervaiz Elahi Institute of Cardiology,","Abdali Road, Multan",Public,
194,Multan,Bakhtawar Amin Memorial Trust Hospital,Northern by Pass Matital Chowk Bosan Town Multan,Private,
195,Multan,Al-Khaliq Patient's Care,Nishtar Road Multan,Private,
196,Multan,Ali General Hospital,"Near Chowk Rashidabad Khanewal Road, Multan",Private,
197,Multan,Afzal Medicare Hospital,"Near Nadirabad Phatak, Garden Town, Shershah Road, Multan",Private,
198,Muzaffargarh,Recep Tayyip Erdogan Hospital,"3-KM 70 N, Dera Ghazi Khan Road, Muzaffargarh",Public,
199,Muzaffargarh,District Headquarter Hospital Muzaffargarh,"Basti Lutkran Ali Pur Road, Muzaffargarh",Public,
200,Muzaffargarh,Al Quresh Hospital,"Near Pul Sohrab, Jatoi, Muzaffargarh",Private,
