,,,,
Sr. No.,District,HCE Name,Address,Contact#
903,Sahiwal,Model Lab,"203-B-1, Hali Road Near Goal Chakkar, Sahiwal",3009696535
904,Sahiwal,National Clinical Lab,"Jamia Faridia Road, Sahiwal",0333-4574519
905,Sahiwal,Omar Diagnostic Centre,"Opposite DHQ Hospital, Noor Shah Road, Sahiwal",ÿ
906,Sahiwal,Pakistan Health Care Lab,Opp. Sahiwal Teaching Hospital,3224485187
907,Sahiwal,"Pearl Laboratories & Research Center, Chichawatni, Sahiwal","Khursheed Plaza Block No 16, Chichawatni, Sahiwal",ÿ
908,Sahiwal,"Pearl Laboratories & Research Centre, Tehsil Chowk Sahiwal",Tehsil Chowk High Street Sahiwal,ÿ
909,Sahiwal,"Punjab Diagnostic Lab, DHQ Hospital, Sahiwal",Opp DHA Gate No.1 District Sahiwal,0300-9699693
910,Sahiwal,"Punjab Diagnostic Lab, Noor Shah Road, Sahiwal","Opp Gate No 1 DHQ Hospital, Noor Shah Road, Sahiwal",0300-9699693
911,Sahiwal,"Rahbar Clinical Lab, Arif Road, Sahiwal","Rahbar Lab, Near U.S Wheel Alighament Arif Road, Sahiwal",ÿ
912,Sahiwal,"Rifah Laboratories, Tehsil Chowk Halli Road Sahiwal","Tehsil Chowk, Halli Road, Sahiwal",0300-4006515
913,Sahiwal,Sahiwal Laboratory,"Opposite Civil Hospital Gate No.03, Sahiwal",3006903880
914,Sahiwal,"Shafqat Lab, Beri Wala Chowk Sahiwal","138 B-VIII, Beri Wala Chowk Sahiwal",0313-4429724
915,Sahiwal,"Shakir Clinical Lab, Kameer Sahiwal",Jellani Market kameer Sahiwal,0300-7894725
916,Sahiwal,Taj LAB,"145/b-2 Karbla Road, Sahiwal",0300-6904056
917,Sahiwal,The Doctor's Lab,"Opposite DHQ Hospital Gate No.02, Sahiwal",ÿ
918,Sahiwal,Unique Lahore Lab,"175 Hali Road, Tehsil Chowk, Sahiwal",3365921588
919,Sargodha,Advance Diagnostic Centre,"Plot No.149/A-Block, Opposite Kazmi Hospital Main Fatima Jinnah Road, Satellite Town, Sargodha",3313030730
920,Sargodha,Ajmal Lab,"City Hospital, 92/C, Satellite Town, Sargodha",0333-4982838
921,Sargodha,"Ali Clinical Laboratory, Near Thana Chowk, Sargodha","Civil Hospital Road Near Thana Chowk Bhalwal, Sargodha",3216043164
922,Sargodha,Amin Labs,Opposite DHQ Teaching Hospital Sargodha,3313030730
923,Sargodha,Arqam Lab,"House # 323, St # 02, Link Canal Road, Shamsher Town, Sargodha",0321-6014032
924,Sargodha,Chughtai Stat Lab and Diagnostic Center,"169-A Old Satellite Town Opposite UBL Bank, Sargodha",0345-8445089
925,Sargodha,Citi Lab & Research Centre,"Near Siddique Hospital, Sargodha",0341-4448865
926,Sargodha,City Care Lab,"32-A Main Bazar Satellite Town, Sargodha",0333-9609500
927,Sargodha,"City Care Lab, OLD DHQ, Saroghda","Fatima Hospital, University Road, Saroghda",ÿ
928,Sargodha,Doctors Lab,71-A Satellite Town Sargodha,3006009667
929,Sargodha,HAFEEZ LAB,153-A SATELLITE TOWN OPPOSITE MUBARAK MEDICAL COMPLEX SARGODHA,3000110243
930,Sargodha,Khan Lab & Diagnostic Center,"7-Block, Main Khushab Road, Noori Gate Branch, Sargodha",0304-4874754
931,Sargodha,Khan Lab & Diagnostic Center,"Munir Hospital,700-A Main Satellite Town, Sargodha",0300-8707499
932,Sargodha,Khan Labs & Diagnostic Center,"Ibn-e-Sina Hospital, Al-Rehman Complex, Qenchi More, Lahore Road, Sargodha",0344-7516095
933,Sargodha,Khan Labs & Diagnostic Center,"18-A, Main Market Satellite Town, Sargodha",0320-6025373
934,Sargodha,Life Care Lab,"Block No.07, Khushab Road, Sargodha",0344-0089540
935,Sargodha,Madina Clinical Laboratory,"Chanab Bazar Kot Momin, Sargodha",0324-4338003
936,Sargodha,Madina Laboratory,"Railway Road, Phulaswan, Bhalwal, Sargodha",0343-6660041
937,Sargodha,"Malik Lab,","Opp. Shadab Traders, Near Imam Bargah Block No. 7, Khushab Road, Tehsil & District Sargodha",0321-6019853
938,Sargodha,Metro Lab,"61-C, Opposite Sadiq Hospital, Satellite Town, Sargodha",3004249617
939,Sargodha,New Life Diagnostic Complex,"House # 37 Block M, Istaqlalabad, Sargodha",ÿ
940,Sargodha,"Shaheen Clinical Laboratory, Thana choek Bhalwal Sargodha",Thana Chowk THQ Hospital Road Bhalwal Sargodha,0321-6038797
941,Sargodha,Shaheen Laboratory,"Baroon Chak Wale Darwaza Near Gourmet Bakery, Bhera, Sargodha",ÿ
942,Sargodha,Test Care Lab And Diagnostic Centre,"21-A, Satellite Town Near Sadiq Hospital, Sargodha",3006029683
943,Sheikhupura,"Advance Diagnostic Centre, Sharaqpur Sharif Shekhupura","Near Bank Al Falah Sharaqpur Sharif, Sheikhupura",ÿ
944,Sheikhupura,Aga Khanum Diagnostic center,Tehsil Muridke Dist. Sheikhupura postal code 39000,3351313139
945,Sheikhupura,"Azmat Clinical Lab, Farooqabad, Sheikhupura","Opp Habib Shah Hospital Waqas Chowk Farooqabad, Sheikhupura",0300-7148093
946,Sheikhupura,Care Clinical Lab,"Opp Shahbaz Sharif Mother & Children Complex, Nabipura, Sheikhupura",0342-7101179
947,Sheikhupura,Dr AQ Diagnostic Centre,"Civic Centre Lahore Sargodha Road, Sheikhupura",0332-4727369
948,Sheikhupura,HRO Diagnostic Center,HRO Shop No 2 Civic Centre Near Meezan Bank Sargodha Road District Sheikhupura,3015273503
949,Sheikhupura,Khalid Clinical Laboratory,"Malo Wala Bazar Kot Abdul Malik, Ferozwala, Sheikhupura",ÿ
950,Sheikhupura,"Marhaba Clinical Laboratory, Safdarabad, Sheikhupura","Opp Girls School, Railway Street, Madni Mohallah, Safdarabad, Sheikhupura",0346-7711324
951,Sheikhupura,"New Lahore Lab, Opposite DHQ Hospital, Sheikhupura","Karamat Market Opposite DHQ Hospital, Sheikhupura",ÿ
952,Sheikhupura,Noor Clinical Lab,"Civic Centre, Sargodha Road, Sheikhupura",3334567016
953,Sheikhupura,Rayyan Lab,"Opposite DHQ Hospital, Sheikhupura",0333-3373135
954,Sheikhupura,Rehman Clinical Lab,"Near National Bank Main Bazar Nankana Road Manawala, Sheikhupura",3224288170
955,Sheikhupura,Shafaq Lab,"7 College Road, Civil Lines District Sheikhupura",0321-3010055
956,Sheikhupura,Tayaba Clinical Lab,"Rauf Market Feroze Wattwan, Sheikhupura",0334-0402884
957,Sheikhupura,"Test One Laboratory, Lahore Road Road, Sheikhupura","Opp DHQ Hospital Basement Alabad Medical Store, Lahore Road, Sheikhupura",0322-8410551
958,Sialkot,"Al Hafiz Medical Laboratories, Head Marala Sialkot",Head Marala Dhally Wali Sialkot,0332-8706320
959,Sialkot,Al Khalid Medical Lab,"Katchehry Road Near Toyota Stand Pasrur, District Sialkot",0300-7491615
960,Sialkot,"Al Shifa Lab, College Road, Sialkot","Jinnah Islamia College Road, Sialkot",ÿ
961,Sialkot,Aleem Laboratories,550 Meters Jammu Road Sialkot,3348018717
962,Sialkot,Allama Iqbal Diagnostic Centre,"Kashmir Mall New Pasport Office China Chowk, Sialkot",3076451451
963,Sialkot,ALSHIFA LAB,Stadium Road Daska,3338185636
964,Sialkot,"Amtiaz Lab Services, Daska, Sialkot","Circular Road Opposite Civil Hospital Tehsil Daska, Sialkot",3225683414
965,Sialkot,Ashraf Lab,"Near DHQ Hospital, Allama Iqbal Memorial Hospital, Sialkot",ÿ
966,Sialkot,Asif Medical Lab,"Opposite Civil Hospital Circular Road, Daska, Sialkot",ÿ
967,Sialkot,City Care Lab,"Opposite Civil Hospital, Civil Chowk, Daska, Sialkot",0320-6477368
968,Sialkot,Col Sultans Lab,"34-Cantonment Plaza, Sialkot",0300-8611520
969,Sialkot,Dr Abdul Sattar Lab,"Near Quaid Pharmacy, Street Dr. Sohail Tufail, Commissioner Road",0322-5129646
970,Sialkot,Dr Naeem's Lab,"Commissioner Road, Sialkot",0333-8613200
971,Sialkot,Dr. Abdul Sattar Lab,"2-KM Daska Road, Sialkot",3225129646
972,Sialkot,Dr. Faiz Lab,"Lala Zar Chowk Commissioner Road, Sialkot",0302-8711724
973,Sialkot,Executive Lab,"Basement Children Hospital, Islamia College Road",3348018717
974,Sialkot,Friend Lab,Air Port Road Gohad Pur Near NBP Sialkot,0345-6992493
975,Sialkot,Galaxy Medical &Diagnostic Center,"Wazirabad Road, Noul Morr Near Rajco Industries, Sialkot",0306-8888040
976,Sialkot,Hassan Sultan Lab,"Sialkot Medical Complex, Commissioner Road, Sialkot",3226101100
977,Sialkot,Ideal Lab,"Lalazar Chowk, Islamia College Road, Sialkot",0331-8615007
978,Sialkot,"Irfan Lab, Daska, Sialkot","Opposite DHQ Hospital, Daska, Sialkot",0333-4617372
979,Sialkot,Islamabad Diagnostic Centre,"Sialkot International Airport, Sialkot",3332672006
980,Sialkot,Islamabad Diagnostic Centre (Pvt.) Ltd. Sialkot Branch,"Cantt Plaza Near Bhed Pulli, Sialkot Cantt, Sialkot",0337-1427217
981,Sialkot,"K Z Lab, Defence Road, Sialkot","Bilal Market Near Purana Yateem Khana Defence Road, Sialkot",ÿ
982,Sialkot,Nova Diagnostic Center,"Sultan Plaza, Khadim Ali Road, Sialkot",0302-6188815
983,Sialkot,Punjab Lab,"Chirag Din Plaza, Circular Road, Sialkot",0300-6172955
984,Sialkot,Rahila Research Lab,"Church Road, Near Sardar Begum Hospital, Opp Usman Masjid, Sialkot",0333-6192949
985,Sialkot,The City Lab,"Commissioner Road, Opposite AIM Hospital, Sialkot",0345-6803330
986,Sialkot,The doctor's Lab,"Commissioner Road Chowk Lalazar, Sialkot",3334377909
987,Sialkot,The Medical Lab,"Adda Jhai, Gulbahar, Chaprar Road, Sialkot",0300-6103795
988,Toba Tek Singh,Al Khidmat Lab,"Abdullah Chowk Akkan Wala Road, Toba Tek Singh",0331-6550213
989,Toba Tek Singh,Al Shifa Lab,"Tehsil Office Road Gojra, Toba Tek Singh",0321-7640348
990,Toba Tek Singh,Al-Khidmat Lab,"Quaid-E-Azam Road, Gojra, Toba Tek Singh",3016994787
991,Toba Tek Singh,Allied Lab,"Mehdi Shah Bazar, Tehsil Gojra District Toba Tek Singh.",0336-6878290
992,Toba Tek Singh,Best Care Lab,"Mehdi Shah Bazar Near Dr. M Akram Hospital, Gojra, Toba Tek Singh",ÿ
993,Toba Tek Singh,British Lab,"Mehdi Shah Bazar, Gojra, Toba Tek Singh",3138628612
994,Toba Tek Singh,"City Clinical Laboratory, Jhang Road, Toba Tek Singh","Jhang Road, Toba Tek Singh",0333-6538564
995,Toba Tek Singh,Health Care Lab,"Mehdi Shah Bazar, Gojra, Toba Tek Singh",0300-6647532
996,Toba Tek Singh,Lahore Diagnostic Center Gojra,"Gojra National Bank Street Gojra, Toba Tek Singh",3219653130
997,Toba Tek Singh,Modern Clinical Lab,"Street National Bank Wali, Gojra, Toba Tek Singh",0344-7739935
998,Toba Tek Singh,O2 Diagnostic Centre,"Main Jhang Road, Gojra, Toba Tek Singh",3227836373
999,Toba Tek Singh,"Pakistan Lab, Akalwala Road, Toba Tek Singh","Akal Wala Road, Toba Tek Singh",0332-6259201
1000,Toba Tek Singh,Rehmat Diagnostic Laboratories,"Quaid e Azam Road Mehdi Shah Bazar Near HBL, Gojra",0306-9058347
1001,Vehari,"Ahmed Lab, Burewala, Vehari","114-E Block Burewala, Vehari",ÿ
1002,Vehari,Care Medical & Diagnostic Centre,"12/N , Sharqi Colony Near Nursing College , Vehari",3017410077
1003,Vehari,"Central Diagnostic Centre, Burewala, Vehari","Stadium Road THQ Hospital Road, Burewala, Vehari",ÿ
1004,Vehari,Doctors Lab,"193-D, Opposite Press Club, Jinnah Road, Vehari",3334522924
1005,Vehari,"Latif Lab, DHQ hospital Road Vehari",DHQ hospital Road Vehari,0300-6303558
1006,Vehari,Life Diagnostic Center,"New Model Town Stadium Road Burewala, Vehari",ÿ
1007,Vehari,"Life Diagnostic Centre, Jinnah Road, Vehari",Life Diagnostic Centre Jinnah Road District Vehari,ÿ
1008,Vehari,"New Nishtar Lab, X Ray And ECG Centre, Jinnah Road, Vehari","Jinnah Road, Vehari",0333-6017982
1009,Vehari,Pakistan Lab,"Shop No.12, DHQ Road, Vehari",3319750278
1010,Vehari,QARI LAB,"BUREWALA HOSPITAL & MEDICAL CENTER, LAHORE ROAD BUREWALA",3000333351
1011,Vehari,Sohail Lab,"The Doctors Hospital, Royal Garden, Cichawatni Road, Burewala, Vehari",0300-6993205
1012,Vehari,"Sohail's Lab, Stadiam Road Burawala Vehari",Stadium Road Burawala Vehari,0300-6993205
