,,,,
Sr. No.,District,HCE Name,Address,Contact#
90,Faisalabad,Alfa Diagnostic Services,"P-5/C Adj Shell Petrol Pump, Opposite Old Board Office, Jail Road, Faisalabad",3455207292
91,Faisalabad,Al-Kabeer Laboratories & Diagnostic Centre,"Street No.05, Akbarabad, Near Allied Hospital, Faisalabad",3339669059
92,Faisalabad,"Allied Diagnostic & Reserach Centre, Main Jail Road, Faisalabad","Main Jail Road Near Rafiq Colony Chowk, Faisalabad",3016518611
93,Faisalabad,"ALPHA Hormone Lab, Samanabad, Faisalabad",Bilal Chowk Main Road Samanabad Faisalabad,ÿ
94,Faisalabad,Al-Rahat Clinical Lab & Diagnostic Centre,"Akbarabad Chowk, Daewoo Road Near Allied Hospital, Faisalabad",3216605620
95,Faisalabad,Al-Rahmat Laboratories,"Ajmal Centre, 289, Batala Colony, Faisalabad",0321-9668905
96,Faisalabad,Al-Rehman International Laboratories & Diagnostic Centre,The Main Samnabad Road Faislabad,3063892826
97,Faisalabad,Alvi Laboratories,"Akbarabad Chowk, Near Allied Hospital, Faisalabad",0300-7605393
98,Faisalabad,Al-Wahid Lab,"Gulberg Road, Jinnah Colony, Faisalabad",3217201209
99,Faisalabad,Arfa Diagnostic Centre,"Saddar Bazar Ghulam Muhammadabad, Faisalabad",3005223485
100,Faisalabad,Arfa Diagnostic Centre,"Street No.3, Akbarabad Chowk, Near Allied Hospital, Faisalabad",3137756777
101,Faisalabad,"Askari Clinical Laboratory, Mansoorabad, Faisalabad","St # 12 Mansoorabad, Faisalabad",0333-6550714
102,Faisalabad,"Azizia Lab, Johar Colony, Faisalabad","P-1091-A Khalkia Maternity Home Johar Colony Near Matto Pura, Faisalabad",0321-6605197
103,Faisalabad,Bio Lab Diagnostic Center,"Main Road Samnabad, Faisalabad",0321-7632000
104,Faisalabad,Biozone Helathcare Laboratories,"Near Crescent Mill, Main Sargodha Road, Faisalabad",3096056685
105,Faisalabad,"Chaughtai Stat Lab, Main Satiana Road, Faisalabad","571-B Peoples Colony # 1, Main Satiana Road, Faisalabad",0345-8445093
106,Faisalabad,City Lab Faisalabad,"Near Allied Hospital, Akbarabad Chowk, Faisalabad",0300-6660818
107,Faisalabad,Dawaa & Dua Laboratory,"302/A, Peoples Colony No 2, Faisalabad",0300-9840138
108,Faisalabad,"Dia Scient Health Care Labs,","35-G, Raja Road, Gulistan Colony, Faisalabad",3007223597
109,Faisalabad,Doctors Diagnostic Lab,Near Akber Hospital Laker Mandi Road 40 More Jaranwala Faisalabad.,3224281312
110,Faisalabad,Doctors Lab and Research Centre,"Akbarabad, Near Allied Hospital, Faisalabad",0300-7605393
111,Faisalabad,Dr Rehman Laboratory,"Main Road, Allama Iqbal Colony, Mathai Wala Chowk, Faisalabad",0300-6677465
112,Faisalabad,Eden Laboratory & Diagnostic Centre,"Liaqat Chowk Govt. General Hospital Ghulam Muhammad Abad, Faisalabad",3188787571
113,Faisalabad,Faisalabad Punjab Diagnostic Lab,"1405-B Bilal Chowk,Main Road,Samanabad,Faisalabad",0321-6605620
114,Faisalabad,Health Care Khidmat Diagnostic Laboratories,"National Hospital Near Tabbaq Restrunt, Gulberg Road, Faisalabad",0306-6081564
115,Faisalabad,Health Zone Lab,"Al Siddiqi Market Raheem Block, Haseeb Shaheed Colony, Faisalabad",0301-5552094
116,Faisalabad,Ideal Diagnostic Center,"Al Hadi Center VIP Block, Tech Town Satyana Road,Faisalabad",0300-9656212
117,Faisalabad,Islamabad Diagnostic Centre (Pvt) Ltd,"563-B, Peoples Colony Satyana Road Faisalabad",0321-8669329
118,Faisalabad,Itefaq Harmone Lab,"Old Bakar Mandi Road Near Al-Haram Marriage Hall, Faisalabad",3424053350
119,Faisalabad,"Jhumra Clinical Lab, Imambargah Road, Faisalabad","Imambargah Road Near Dr Naseem Irshad Hospital Chak Jhumra, Faisalabad",0300-7670403
120,Faisalabad,Jinnah Lab,"567-B, Peoples Colony, Faisalabad",0300-6668754
121,Faisalabad,Khidmat Diagnostic Laboratory,"Main Rehmania Road Near Sughra Trust Hospital, Faisalabad",0306-7168758
122,Faisalabad,Khidmat E Khalq Laboratories,"Sharif Chowk Main D Type Colony, Faisalabad",0322-6300012
123,Faisalabad,Khidmat e Khalq Laboratory,Opposit GC University Allama Iqbal Town Road Faisalabad,0300-9565872
124,Faisalabad,"Khidmat Lab, Gulberg, Faisalabad","Main Road Gulberg Opposite National Hospital, Faisalabad",0300-9665639
125,Faisalabad,Life Care Laboratory,"Rehman Chowk, Madina Town, Faisalabad",0345-5207292
126,Faisalabad,Lyallpur Diagnostic Clinical & Research Lab,"Street No.05, Akbarabad Opposite Allied Hospital, Faisalabad",ÿ
127,Faisalabad,Max Lab Clinical & Research Laboratories,"P-602 main Jinnah Colony Gate, Faisalabad",3339669059
128,Faisalabad,"Meezan Laboratory, Jail Road, Faisalabad","Rafiq Colony, Street No. 01, Jail Road, Faisalabad",0322-6261557
129,Faisalabad,Millat Laboratory,"575 B Peoples Colony Satiana Road, Faisalabad",0321-6680733
130,Faisalabad,Molecular Care Lab,"University Of Agriculture, Faisalabad",3036661723
131,Faisalabad,"National Laboratory, Near Allied Hospital, Faisalabad","Jail Road Akbar Chowk Near Allied Hospital, Faisalabad",0321-2615333
132,Faisalabad,New Khidmat-E-Khalaq Laboratory,"Allama Iqbal Main Road Methai Wala Chowk, Faisalabad",3217887971
133,Faisalabad,New Millat Laboratory,"Opposite DHQ Hospital, Faisalabad",0333-6617864
134,Faisalabad,"Pakistan Shifa Lab, Main Sheikhupura Road Faisalabad",Adda Johalan Stop Main Sheikhupura Road 32 KM Faisalabad,0305-9115885
135,Faisalabad,Punjab Clinical Lab,"Saleemi Chowk Satiana Road, Faisalabad",0300-7746262
136,Faisalabad,"Raheem Clinical Laboratory, Main Narwala Road Faisalabad","Awami Colony No 2, Main Narwala Road Near Rabia Ultrasound And Mobilink Office Faisalabad",0300-4878841
137,Faisalabad,Rapid Care Diagnostic Center,Rapid Care Diagnostic Center near madni chowk main road Samnabad Faisalabad,3315699416
138,Faisalabad,"Rehman Clinical Laboratory, Ghulam Mohammad Abad, Faisalabad",35-B Ghulam Mohammad Abad District Faisalabad,0302-7014162
139,Faisalabad,"Rehman Laboratory, Gulistan Colony, Faisalabad","P-158-B Millat Road Gulistan Colony, Faisalabad",0300-6699565
140,Faisalabad,Rehmat Diagnostic Laboratories,"Partab Nagar Street No 1 Near Sufi Auto Opp Shell petrol Pump, Jhang Road, Faisalabad",0300-8963030
141,Faisalabad,Rehmat Lab,"General Hospital Near Police Staton, Samanabad, Faisalabad",ÿ
142,Faisalabad,Rifah Laboratories,"Akbarabad Chowk, Near Allied Hospital, Faisalabad",0333-6517751
143,Faisalabad,Rifah Laboratories,Main Bazar Jhumra Road Near UBL Khurianwala Faisalabad,0300-7281762
144,Faisalabad,"Rifah Laboratories, Ghulam Muhammadabad, Faisalabad","Sadar Bazar, Ghulam Muhammadabad, Faisalabad",0322-3030330
145,Faisalabad,"Rifah Laboratories, Jinnah Colony, Faisalabad","Main Bazar, Near Ideal Sweets, Jinnah Colony, Faisalabad",0333-9922154
146,Faisalabad,Royal Lab & Reserch Center,"P-325 Green View Colony Near Muhammad Hospital, Faisalabad",ÿ
147,Faisalabad,Royal Laboratories,"Opposite Rehman Hospital Jinnah Colony, Faisalabad",0321-7828034
148,Faisalabad,Sara Laboratory,Main Bazar Mohallah Nasir Nagar 224 Wazeer Khan Wali D Type Colony,3338981196
149,Faisalabad,Shaheen Laboratory,"Near Main Bazar, Khurrianwala, Faisalabad",0345-7678349
150,Faisalabad,SKMCH&RC DIAGNOSTIC LABORATORY-FAISALABAD,"Plot # 370-B, People Colony # 1",3336726627
151,Faisalabad,"Standard Lab, Ismail Road, Faisalabad","Opposite Allied Hospital, Ismail Road, Faisalabad",ÿ
152,Faisalabad,"Talha Labs Clinical Laboratory, G.M Road, Faisalabad","Opposite Main Gate General Hospital, G.M Road, Faisalabad",0300-7608863
153,Faisalabad,Test Point Clinical Lab,"674-A Pepole Colony No 1 Near Faisal Hospital, Faisalabad",0300-7606356
154,Faisalabad,Test Zone Diagnostic Centre,"Millat Chowk Near Ideal Bakers Opposite Rao Corporation, Faisalabad",3216620061
155,Faisalabad,The Aga Khan University Hospital Stat Lab,"Near Hardees, Gateway Tower Gates Chowk Satayana Road, Faisalabad",0300-2179223
156,Faisalabad,Zymotic Diagnostic Center,"Plot No 8 Office No 504,505 4th Floor, Business Center, Regency Road, New Civil Line, Faisalabad",0333-8389592
157,Gujranwala,Access Laboratory,"Munir Chowk, Al-Aziz Market, Opposite DHQ Hospital, Gujranwala",3201111570
